Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2023/08/06,,,read,,,,1,0
9056416,La Costilla Asada De Adan,Carmen Rico-Godoy,"Rico-Godoy, Carmen",,"=""8478806466""","=""""",0,3.72,Ediciones Martínez Roca,Paperback,168,1996,2002,,2023/08/20,,,read,,,,1,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.81,Crown,Hardcover,273,2019,2018,,2023/08/06,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,2023/08/12,2023/08/06,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.36,Scholastic Press,Hardcover,391,2009,2009,,2023/08/06,,,read,,,,1,0
72193,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.47,Bloomsbury Publishing,Paperback,223,1997,1997,2023/08/07,2023/08/06,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler","=""""","=""""",0,4.20,Bantam,Mass Market Paperback,283,1993,1947,,2023/08/06,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",0,4.57,Scholastic,Paperback,734,2002,2000,2023/09/03,2023/08/06,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2023/08/06,,,read,,,,1,0
1162543,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,"Meyer, Stephenie",,"=""031606792X""","=""9780316067928""",0,3.76,"Little, Brown and Company",Hardcover,756,2008,2008,2023/01/01,2023/08/06,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",0,4.50,Scholastic Inc.,Paperback,870,2004,2003,,2023/08/06,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.35,Scholastic Press,Hardcover,374,2008,2008,,2023/08/06,,,read,,,,1,0
428263,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316160202""","=""9780316160209""",0,3.74,"Little, Brown and Company",Hardcover,629,2007,2007,2023/01/01,2023/08/06,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,2023/08/14,2023/08/06,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""0152023984""","=""9780152023980""",0,4.33,"Harcourt, Inc.",Hardcover,96,2000,1943,,2023/08/06,,,read,,,,1,0
2122406,"Violetas de marzo (Bernie Gunther, #1)",Philip Kerr,"Kerr, Philip",,"=""8498676649""","=""9788498676648""",0,3.80,RBA,Paperback,383,2007,1989,2023/08/12,2023/08/06,,,read,,,,2,0
25622296,Strangers on a Train,Patricia Highsmith,"Highsmith, Patricia",Paula Hawkins,"=""0393351939""","=""9780393351934""",0,3.72,W. W. Norton & Company,Paperback,273,2021,1950,,2023/08/06,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,4.17,Celadon Books,Hardcover,336,2019,2019,2024/07/17,2024/07/17,,,read,,,,1,0
56898297,Greedy: Notes from a Bisexual Who Wants Too Much,Jen Winston,"Winston, Jen",,"=""1982179171""","=""9781982179175""",0,3.91,Atria Books,Paperback,336,2021,2021,,2023/09/03,,,read,,,,1,0
27362503,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""1668021048""","=""9781668021040""",0,4.08,Atria Books,Kindle Edition,386,2023,2016,2023/01/01,2023/08/06,,,read,,,,1,0
25089208,Violet y Finch,Jennifer Niven,"Niven, Jennifer",,"=""8408141422""","=""9788408141426""",0,4.11,Destino,Paperback,400,2015,2015,,2024/07/16,,,read,,,,1,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",0,3.92,St. Martin's Press,Hardcover,328,2013,2012,,2024/07/16,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",0,4.12,Dutton Books,Hardcover,313,2012,2012,,2023/08/06,,,read,,,,1,0
99561,Looking for Alaska,John Green,"Green, John",,"=""1435249151""","=""9781435249158""",0,3.96,Speak,Paperback,221,2006,2005,,2023/08/06,,,read,,,,1,0
